day_key,line_id,line_name,ts_minute,hourly_count,uph
2026-04-17,3,LP EGR-VV,2026-04-17T07:30,158,154.5
2026-04-17,3,LP EGR-VV,2026-04-17T08:30,169,162.8
2026-04-17,3,LP EGR-VV,2026-04-17T09:30,169,164.6
2026-04-17,3,LP EGR-VV,2026-04-17T10:30,168,165.2
2026-04-17,3,LP EGR-VV,2026-04-17T11:30,159,164.1
2026-04-17,3,LP EGR-VV,2026-04-17T12:30,167,164.6
2026-04-17,3,LP EGR-VV,2026-04-17T13:30,132,159.9
2026-04-17,3,LP EGR-VV,2026-04-17T14:30,169,161.1
2026-04-17,3,LP EGR-VV,2026-04-17T15:30,164,161.3
2026-04-17,3,LP EGR-VV,2026-04-17T16:30,164,161.8
2026-04-17,3,LP EGR-VV,2026-04-17T17:30,172,162.6
2026-04-17,3,LP EGR-VV,2026-04-17T18:30,163,162.5
2026-04-17,3,LP EGR-VV,2026-04-17T19:30,157,162.1
2026-04-17,3,LP EGR-VV,2026-04-17T20:30,168,162.6
2026-04-17,3,LP EGR-VV,2026-04-17T21:30,154,162.0
2026-04-17,3,LP EGR-VV,2026-04-17T22:30,167,162.4
2026-04-17,3,LP EGR-VV,2026-04-17T23:30,86,158.2
2026-04-17,3,LP EGR-VV,2026-04-18T00:30,0,149.4
2026-04-17,3,LP EGR-VV,2026-04-18T01:30,174,150.3
2026-04-17,3,LP EGR-VV,2026-04-18T02:30,152,150.5
2026-04-17,3,LP EGR-VV,2026-04-18T03:30,170,151.4
2026-04-17,3,LP EGR-VV,2026-04-18T04:30,143,151.0
2026-04-17,3,LP EGR-VV,2026-04-18T05:30,167,151.8
2026-04-17,3,LP EGR-VV,2026-04-18T06:30,100,149.6
